10 Augsburg 319,39-66-68-72-74(75)(76),,2:23:17 28:40,,,
11 Saint Mary's (Minn.) 334,59-65-69-70-71(73),,2:22:17 28:28,,,
INDIVIDUAL RESULTS,,,,,,
Athlete YR,"# Team",Score,Time Gap Avg. Mile,Avg. kM,1K,2.4K 4.5K 7K
31,"KILEY, Collin",SR,227,St. Thomas (Minn.),(31),26:27.9,1:50.9,5:19.5,3:18.5,3:08.8,7:38.8,14:31.0,23:11.4
32,"SAGEDAHL, Penn",FR,210,St. Olaf,(32),26:29.0,1:52.0,5:19.7,3:18.6,3:09.9,7:38.2,14:30.7,23:11.7
33,"HERZOG, Jonah",JR,189,St. Olaf,-,26:30.7,1:53.7,5:20.1,3:18.8,3:10.0,7:41.6,14:36.0,23:13.4
34,"OLSON, Casey",JR,99,Gustavus Adolphus,33,26:31.3,1:54.3,5:20.2,3:18.9,3:13.0,7:48.2,14:45.9,23:16.6
35,"GOLDSMITH, Andy",SO,159,St. John's (Minn.),34,26:32.5,1:55.5,5:20.4,3:19.1,3:13.6,7:54.6,14:47.5,23:18.0
36,"JOHNSON, Adrian",JR,127,Macalester,35,26:34.3,1:57.3,5:20.8,3:19.3,3:11.2,7:41.8,14:33.0,23:09.8
37,"GILBERTSON, Jeremy",JR,84,Gustavus Adolphus,(36),26:38.4,2:01.4,5:21.6,3:19.8,3:12.2,7:45.6,14:41.2,23:21.9
38,"MALEK, Luke",SO,199,St. Olaf,-,26:38.8,2:01.8,5:21.7,3:19.9,3:14.3,7:49.2,14:47.2,23:23.9
39,"CHAO, Ben",FR,32,Carleton,-,26:38.9,2:01.9,5:21.7,3:19.9,3:12.9,7:48.3,14:40.8,23:24.3
40,"SANSONE, Keegan",SO,233,St. Thomas (Minn.),(37),26:40.9,2:03.9,5:22.1,3:20.1,3:11.0,7:42.5,14:40.6,23:25.0
41,"ISAHAK, Munir",JR,63,Concordia-Moorhea,38,26:43.2,2:06.2,5:22.6,3:20.4,3:15.6,7:49.2,14:46.0,23:24.9
42,"NAKASAKA, Adam",SO,45,Carleton,-,26:44.4,2:07.4,5:22.8,3:20.5,3:12.5,7:50.8,14:48.2,23:33.2
43,"HALLA, Colton",FR,224,St. Thomas (Minn.),-,26:46.8,2:09.8,5:23.3,3:20.8,3:10.6,7:43.1,14:42.9,23:29.6
44,"PAAL, Matthew",SR,205,St. Olaf,-,26:48.1,2:11.1,5:23.5,3:21.0,3:21.3,7:59.2,14:56.0,23:33.1
45,"RIPLEY, Lars",SO,209,St. Olaf,-,26:48.2,2:11.2,5:23.6,3:21.0,3:21.1,7:59.7,14:57.2,23:34.2
46,"MCCOLLOR, Adam",FR,229,St. Thomas (Minn.),-,26:49.6,2:12.6,5:23.8,3:21.2,3:10.3,7:42.3,14:41.4,23:27.8
47,"CASSIDY, Eliott",SO,180,St. Olaf,-,26:50.1,2:13.1,5:23.9,3:21.3,3:08.8,7:37.6,14:31.7,23:27.0
48,"HUSSIEN, Sakariya",FR,3,Augsburg,39,26:50.7,2:13.7,5:24.1,3:21.3,3:15.3,7:54.2,14:56.3,23:37.3
49,"NYSTROM, Kenyon",SO,46,Carleton,-,26:53.3,2:16.3,5:24.6,3:21.7,3:17.3,7:59.2,15:00.1,23:41.6
50,"PAYNE, Matt",SO,101,Gustavus Adolphus,(40),26:55.9,2:18.9,5:25.1,3:22.0,3:14.3,7:55.0,14:56.5,23:38.9
51,"THEISEN, Sam",FR,240,St. Thomas (Minn.),-,26:56.4,2:19.4,5:25.2,3:22.0,3:11.0,7:48.1,14:49.7,23:38.4
52,"GRAND, Mitchell",FR,160,St. John's (Minn.),41,26:56.9,2:19.9,5:25.3,3:22.1,3:16.1,7:58.6,14:59.1,23:41.4
53,"BRENK, Christopher",SR,179,St. Olaf,-,26:58.0,2:21.0,5:25.5,3:22.2,3:07.9,7:40.5,14:40.4,23:30.2
54,"ROEN, Ben",JR,115,Hamline,42,26:58.2,2:21.2,5:25.6,3:22.3,3:11.8,7:44.9,14:50.7,23:39.3
55,"STRESEMANN, Sam",JR,216,St. Olaf,-,26:58.7,2:21.7,5:25.7,3:22.3,3:21.7,7:59.9,14:57.3,23:49.0
56,"KNEESKERN, Noah",JR,65,Concordia-Moorhea,43,26:59.7,2:22.7,5:25.9,3:22.5,3:22.4,8:02.0,14:58.4,23:37.3
57,"PERRY, Ben",SO,47,Carleton,-,26:59.8,2:22.8,5:25.9,3:22.5,3:12.7,7:48.4,14:48.7,23:39.4
58,"KOZLOWSKI, Carl",JR,228,St. Thomas (Minn.),-,26:59.9,2:22.9,5:25.9,3:22.5,3:09.0,7:43.1,14:50.0,23:37.7
59,"GAIM, Nehemiah",FR,110,Hamline,44,27:01.1,2:24.1,5:26.2,3:22.6,3:14.0,7:54.3,14:57.3,23:42.3
60,"GALLAGHER, Tyler",SO,111,Hamline,45,27:01.5,2:24.5,5:26.3,3:22.7,3:13.0,7:54.5,14:57.6,23:44.2
61,"KIVELA, Erik",JR,16,Bethel (Minn.),46,27:02.7,2:25.7,5:26.5,3:22.8,3:16.2,7:54.6,14:52.5,23:39.6
62,"LEPAK, Jake",SR,129,Macalester,47,27:04.0,2:27.0,5:26.8,3:23.0,3:06.7,7:32.3,14:37.1,23:41.0
63,"MIDDENDORF, Jesse",FR,71,Concordia-Moorhea,48,27:04.1,2:27.1,5:26.8,3:23.0,3:18.6,7:58.9,14:58.7,23:47.4
64,"FAST, Justus",SO,158,St. John's (Minn.),(49),27:05.0,2:28.0,5:27.0,3:23.1,3:20.4,8:02.0,15:02.0,23:42.6
65,"HALVERSON, Josh",JR,14,Bethel (Minn.),50,27:05.8,2:28.8,5:27.1,3:23.2,3:08.8,7:38.6,14:36.3,23:36.0
66,"HOUSEMAN, Ryan",JR,162,St. John's (Minn.),(51),27:06.5,2:29.5,5:27.3,3:23.3,3:16.4,8:00.0,15:02.6,23:47.8
67,"OLFERT, Nick",SO,97,Gustavus Adolphus,-,27:07.1,2:30.1,5:27.4,3:23.4,3:18.1,8:00.2,15:02.3,23:48.2
68,"DAVID, Evan",JR,35,Carleton,-,27:08.8,2:31.8,5:27.7,3:23.6,3:10.7,7:35.4,14:21.2,23:32.7
69,"MAYSE, Smith",SO,132,Macalester,52,27:09.7,2:32.7,5:27.9,3:23.7,3:07.2,7:38.5,14:46.5,23:39.6
70,"OLSON, Tanner",FR,72,Concordia-Moorhea,53,27:11.5,2:34.5,5:28.3,3:23.9,3:17.9,7:57.7,14:57.8,23:48.3
71,"HAUGRUD, Connor",JR,62,Concordia-Moorhea,(54),27:13.1,2:36.1,5:28.6,3:24.1,3:18.8,8:01.7,15:02.7,23:54.3
72,"HINCHCLIFFE, Henry",FR,87,Gustavus Adolphus,-,27:13.7,2:36.7,5:28.7,3:24.2,3:16.9,7:58.2,15:03.3,23:52.8
73,"MONTRESOR, Kevin",FR,202,St. Olaf,-,27:13.7,2:36.7,5:28.7,3:24.2,3:23.3,8:02.8,15:03.7,23:49.3
74,"BRODIE, Aric",SO,109,Hamline,(55),27:13.9,2:36.9,5:28.8,3:24.2,3:19.6,7:56.4,14:56.6,23:48.0
75,"HENSCHEL, Jack",SR,187,St. Olaf,-,27:17.7,2:40.7,5:29.5,3:24.7,3:28.3,8:17.9,15:20.8,23:59.8
76,"HERZOG, Kojo",SO,190,St. Olaf,-,27:19.1,2:42.1,5:29.8,3:24.9,3:22.2,8:02.7,15:03.8,23:59.6
77,"JACKSON, Seth",JR,163,St. John's (Minn.),-,27:19.3,2:42.3,5:29.8,3:24.9,3:16.5,7:59.2,15:02.6,23:49.0
78,"SWEENEY, Jonathan",JR,26,Bethel (Minn.),56,27:19.8,2:42.8,5:29.9,3:25.0,3:16.6,7:58.3,15:01.6,23:53.6
79,"SCHNIRRING, Lucas",SO,102,Gustavus Adolphus,-,27:22.0,2:45.0,5:30.4,3:25.2,3:18.2,8:01.1,15:02.0,23:56.6
80,"PHELAN, Conrad",SR,48,Carleton,-,27:22.1,2:45.1,5:30.4,3:25.3,3:21.8,8:07.1,15:17.9,24:00.9
81,"JONES, Elijah",FR,40,Carleton,-,27:22.1,2:45.1,5:30.4,3:25.3,3:20.1,8:06.5,15:14.6,24:02.3
82,"LINDGREN, Lukas",JR,196,St. Olaf,-,27:22.4,2:45.4,5:30.4,3:25.3,3:23.7,8:02.7,15:03.6,23:59.9
83,"REYES HERRERA, Edwin",SR,138,Macalester,57,27:22.7,2:45.7,5:30.5,3:25.3,3:20.7,8:05.6,15:10.9,24:00.5
84,"JOHNSON, Solomon",FR,64,Concordia-Moorhea,(58),27:24.2,2:47.2,5:30.8,3:25.5,3:22.6,8:02.4,15:06.4,24:06.8
85,"MALIKOWSKI, Jordan",JR,142,Saint Mary's (Minn.),59,27:24.4,2:47.4,5:30.9,3:25.5,3:21.4,8:03.7,15:08.7,24:03.1
86,"BRAKOB, Justin",JR,151,St. John's (Minn.),-,27:24.5,2:47.5,5:30.9,3:25.6,3:21.2,8:03.6,15:11.6,24:06.3
87,"MASSANARI, Noah",FR,200,St. Olaf,-,27:24.7,2:47.7,5:30.9,3:25.6,3:24.2,8:09.4,15:11.9,24:01.0
88,"DEGONDA, Jack",SO,82,Gustavus Adolphus,-,27:24.8,2:47.8,5:30.9,3:25.6,3:08.3,7:39.0,14:31.9,23:39.6
89,"ZAK, Parker",SO,175,St. John's (Minn.),-,27:25.2,2:48.2,5:31.0,3:25.6,3:20.0,8:01.5,15:01.9,23:57.1
90,"O'DONNELL-HOFF, Sam",SR,135,Macalester,60,27:26.3,2:49.3,5:31.2,3:25.8,3:20.6,8:05.8,15:11.8,24:03.7
91,"RICKER, Basil",FR,74,Concordia-Moorhea,-,27:27.4,2:50.4,5:31.5,3:25.9,3:19.8,8:02.2,15:08.9,24:06.8
92,"SHINN, Keaton",SR,23,Bethel (Minn.),(61),27:28.4,2:51.4,5:31.7,3:26.1,3:16.2,7:57.6,15:06.6,24:05.1
93,"TYDINGS, Clay",JR,53,Carleton,-,27:29.9,2:52.9,5:32.0,3:26.2,3:18.4,8:04.3,15:09.4,24:03.1
94,"FOSTER, Caleb",SR,13,Bethel (Minn.),(62),27:31.5,2:54.5,5:32.3,3:26.4,3:16.1,7:57.9,15:11.9,24:15.6
95,"ST GEORGE, Aidan",FR,24,Bethel (Minn.),-,27:32.6,2:55.6,5:32.5,3:26.6,3:15.8,7:56.2,15:01.5,24:05.2
96,"SMITH, Morey",FR,237,St. Thomas (Minn.),-,27:35.7,2:58.7,5:33.1,3:27.0,3:10.6,7:45.0,14:57.2,24:08.5
97,"CHRISTENSON, Nolan",SO,56,Concordia-Moorhea,-,27:36.2,2:59.2,5:33.2,3:27.0,3:23.2,8:10.5,15:23.4,24:17.4
98,"KERR, Fred",SO,128,Macalester,(63),27:36.7,2:59.7,5:33.3,3:27.1,3:20.1,8:05.7,15:11.2,24:03.3
99,"WRIGHT, Owen",SR,218,St. Olaf,-,27:36.8,2:59.8,5:33.3,3:27.1,3:27.4,8:17.5,15:24.9,24:20.3
100,"ECKMAN, Treycen",FR,220,St. Thomas (Minn.),-,27:38.2,3:01.2,5:33.6,3:27.3,3:13.3,7:59.5,15:09.1,24:07.7
101,"FINN, Michael",JR,183,St. Olaf,-,27:39.6,3:02.6,5:33.9,3:27.4,3:16.4,7:56.0,15:01.8,24:13.1
102,"FONG, Jeremy",FR,36,Carleton,-,27:41.0,3:04.0,5:34.2,3:27.6,3:19.7,8:06.8,15:19.3,24:22.8
103,"PAVELKA, Bridger",SR,100,Gustavus Adolphus,-,27:41.4,3:04.4,5:34.3,3:27.7,3:18.5,8:02.7,15:17.3,24:17.4
104,"RYAN, Tommy",FR,116,Hamline,(64),27:41.6,3:04.6,5:34.3,3:27.7,3:16.0,7:56.6,14:57.8,23:53.3
105,"FRANK-HOLZNER, Hans",FR,59,Concordia-Moorhea,-,27:45.3,3:08.3,5:35.1,3:28.2,3:22.4,8:02.1,15:09.0,24:24.2
106,"AOKI-SHERWOOD, Ben",FR,29,Carleton,-,27:46.9,3:09.9,5:35.4,3:28.4,3:19.6,8:04.9,15:15.2,24:20.0
107,"BERG, Riley",FR,150,St. John's (Minn.),-,27:47.5,3:10.5,5:35.5,3:28.4,3:20.2,8:04.9,15:19.9,24:24.6
108,"OLSEM, Isaiah",JR,146,Saint Mary's (Minn.),65,27:48.5,3:11.5,5:35.7,3:28.6,3:20.2,8:01.6,15:03.2,24:13.7
109,"LARSON, Peter",SO,195,St. Olaf,-,27:49.1,3:12.1,5:35.8,3:28.6,3:27.2,8:13.3,15:25.6,24:23.5
110,"SCRUGGS, Nathan",JR,103,Gustavus Adolphus,-,27:50.6,3:13.6,5:36.1,3:28.8,3:21.7,8:07.1,15:18.7,24:20.3
111,"KNUTSON, Bryce",SO,90,Gustavus Adolphus,-,27:51.2,3:14.2,5:36.2,3:28.9,3:19.6,8:03.0,15:18.4,24:24.0
112,"NARUM, Anders",SO,204,St. Olaf,-,27:53.1,3:16.1,5:36.6,3:29.1,3:21.3,7:59.4,15:00.3,24:20.9
113,"COLLERAN, Jack",JR,153,St. John's (Minn.),-,27:54.2,3:17.2,5:36.9,3:29.3,3:17.3,8:01.0,15:05.4,24:22.6
114,"RENGO, Samuel",FR,171,St. John's (Minn.),-,27:55.5,3:18.5,5:37.1,3:29.4,3:23.2,8:11.4,15:28.4,24:32.1
115,"PEDERSEN, Luke",SO,20,Bethel (Minn.),-,27:58.4,3:21.4,5:37.7,3:29.8,3:19.7,8:09.6,15:29.4,24:30.0
116,"OLSON, Anders",JR,98,Gustavus Adolphus,-,28:00.3,3:23.3,5:38.1,3:30.0,3:21.7,8:06.9,15:18.8,24:26.4
117,"HENSEL, Alexei",FR,161,St. John's (Minn.),-,28:02.6,3:25.6,5:38.5,3:30.3,3:23.1,8:11.4,15:28.6,24:40.0
118,"HOBUS, Isaiah",SO,15,Bethel (Minn.),-,28:02.9,3:25.9,5:38.6,3:30.4,3:19.7,8:07.4,15:26.1,24:34.4
119,"BRANSKY, Jacob",SR,31,Carleton,-,28:03.9,3:26.9,5:38.8,3:30.5,3:22.8,8:12.8,15:30.6,24:39.5
120,"ABEYTA, Michael",FR,1,Augsburg,66,28:04.7,3:27.7,5:39.0,3:30.6,3:17.8,8:10.2,15:32.0,24:41.3
121,"SHUFRO-ZLETZ, Jesse",SO,52,Carleton,-,28:05.1,3:28.1,5:39.0,3:30.6,3:27.0,8:18.2,15:35.4,24:43.4
122,"GILBERTSON, Henrik",SO,185,St. Olaf,-,28:07.2,3:30.2,5:39.5,3:30.9,3:23.0,8:06.7,15:27.9,24:41.0
123,"JARKA-SELLERS, Peter",SR,126,Macalester,(67),28:07.7,3:30.7,5:39.6,3:31.0,3:20.7,8:11.8,15:38.7,24:43.3
124,"CRUZ, Samuel",SR,155,St. John's (Minn.),-,28:08.5,3:31.5,5:39.7,3:31.1,3:17.7,8:00.6,15:04.1,24:27.3
125,"PANCOAST, Olsen",SR,73,Concordia-Moorhea,-,28:11.3,3:34.3,5:40.3,3:31.4,3:19.7,8:02.9,15:22.5,24:40.1
126,"GUSTAFSON, Brennan",JR,86,Gustavus Adolphus,-,28:13.1,3:36.1,5:40.6,3:31.6,3:19.0,8:04.3,15:28.3,24:45.0
127,"MILNER, Michael",SR,133,Macalester,-,28:13.9,3:36.9,5:40.8,3:31.7,3:22.2,8:05.1,15:25.3,24:44.1
128,"MUNOZ, Julian",FR,203,St. Olaf,-,28:14.2,3:37.2,5:40.9,3:31.8,3:24.2,8:09.4,15:31.7,24:51.2
129,"WARD, Mike",FR,244,St. Thomas (Minn.),-,28:14.3,3:37.3,5:40.9,3:31.8,3:14.2,8:02.6,15:22.4,24:44.2
130,"BAUMEISTER, Mark",JR,121,Macalester,-,28:16.7,3:39.7,5:41.4,3:32.1,3:25.9,8:23.2,15:47.8,24:58.1
131,"STONE, David",SR,215,St. Olaf,-,28:17.0,3:40.0,5:41.4,3:32.1,3:30.2,8:26.4,15:42.3,24:54.3
132,"TREMPE, Eric",SO,241,St. Thomas (Minn.),-,28:17.9,3:40.9,5:41.6,3:32.2,3:24.1,8:13.2,15:35.8,24:49.2
133,"KERBESHIAN, Nick",JR,89,Gustavus Adolphus,-,28:19.1,3:42.1,5:41.9,3:32.4,3:09.3,7:55.2,15:25.9,24:56.4
134,"WIENS, Jared",SO,27,Bethel (Minn.),-,28:20.0,3:43.0,5:42.0,3:32.5,3:25.7,8:24.1,15:44.5,24:58.2
135,"LAVIGNE, Trevor",FR,91,Gustavus Adolphus,-,28:20.0,3:43.0,5:42.0,3:32.5,3:21.9,8:10.3,15:30.7,24:44.8
136,"SLAGEL, Isaac",SR,214,St. Olaf,-,28:21.3,3:44.3,5:42.3,3:32.7,3:27.9,8:18.2,15:41.3,24:51.6
137,"STONICK, Alexander",FR,9,Augsburg,68,28:22.8,3:45.8,5:42.6,3:32.8,3:15.9,8:02.2,15:27.2,24:51.4
138,"HERSHEWE, Edward",SR,37,Carleton,-,28:24.9,3:47.9,5:43.0,3:33.1,3:28.4,8:23.1,15:46.8,24:57.3
139,"WALLIN, Tucker",FR,105,Gustavus Adolphus,-,28:26.3,3:49.3,5:43.3,3:33.3,3:09.1,7:41.2,15:12.4,24:51.3
140,"ABEGGLEN, Samuel",SR,78,Gustavus Adolphus,-,28:26.8,3:49.8,5:43.4,3:33.3,3:28.7,8:24.2,15:49.7,25:02.0
141,"KRAIMER , Michael",SO,66,Concordia-Moorhea,-,28:27.5,3:50.5,5:43.6,3:33.4,3:26.9,8:18.6,15:40.9,24:59.1
142,"SCHNIEDERS, Ben",JR,51,Carleton,-,28:27.7,3:50.7,5:43.6,3:33.5,3:27.2,8:22.4,15:49.0,24:59.9
143,"MEADEN, Jonathan",JR,144,Saint Mary's (Minn.),69,28:28.8,3:51.8,5:43.8,3:33.6,3:21.0,8:04.4,15:20.2,24:48.2
144,"PETERSON, Luke",FR,21,Bethel (Minn.),-,28:31.8,3:54.8,5:44.4,3:34.0,3:19.8,8:09.9,15:34.8,24:58.4
145,"SLUGA, Nicholas",SO,234,St. Thomas (Minn.),-,28:32.0,3:55.0,5:44.4,3:34.0,3:22.4,8:15.1,15:39.4,25:01.4
146,"STANEK, Christopher",JR,173,St. John's (Minn.),-,28:34.3,3:57.3,5:44.9,3:34.3,3:27.8,8:24.3,15:54.4,25:09.6
147,"CRAMER, John",FR,34,Carleton,-,28:35.3,3:58.3,5:45.1,3:34.4,3:29.3,8:26.4,15:52.5,25:06.9
148,"MICHAEL, Zane",SO,95,Gustavus Adolphus,-,28:36.3,3:59.3,5:45.3,3:34.5,3:22.1,8:09.2,15:34.0,25:01.5
149,"SMITH, Noah",FR,118,Hamline,-,28:36.8,3:59.8,5:45.4,3:34.6,3:23.7,8:17.6,15:44.6,25:04.6
150,"LEWIS-NORELLE, Sasha",JR,131,Macalester,-,28:38.8,4:01.8,5:45.8,3:34.8,3:25.9,8:23.6,15:47.6,25:10.8
151,"SMITH, Anthony",SR,235,St. Thomas (Minn.),-,28:40.7,4:03.7,5:46.2,3:35.1,3:25.4,8:16.6,15:46.1,25:16.3
152,"RAZILDO, Thomas",SO,113,Hamline,-,28:42.2,4:05.2,5:46.5,3:35.3,3:26.3,8:24.2,15:49.2,25:06.2
153,"BRANDT, Jared",FR,79,Gustavus Adolphus,-,28:50.5,4:13.5,5:48.2,3:36.3,3:19.7,8:09.2,15:46.0,25:10.6
154,"SWORSKI, Erik",JR,238,St. Thomas (Minn.),-,28:52.3,4:15.3,5:48.5,3:36.5,3:24.3,8:16.9,15:55.4,25:26.6
155,"CLAUSING, Nathan",FR,152,St. John's (Minn.),-,28:52.4,4:15.4,5:48.6,3:36.6,3:31.0,8:29.3,15:59.9,25:29.6
156,"BILDSTEN, Ben",SR,122,Macalester,-,28:54.4,4:17.4,5:49.0,3:36.8,3:23.4,8:22.9,15:52.9,25:22.3
157,"JOHNSON, Kristofer",JR,191,St. Olaf,-,28:54.5,4:17.5,5:49.0,3:36.8,3:30.0,8:26.9,15:55.0,25:25.5
158,"JOHNSON, Parker",FR,39,Carleton,-,28:56.1,4:19.1,5:49.3,3:37.0,3:27.6,8:24.5,15:57.5,25:27.0
159,"WILSON, Dan",SO,76,Concordia-Moorhea,-,29:02.8,4:25.8,5:50.7,3:37.8,3:31.6,8:39.2,16:18.1,25:39.0
160,"MCCARTNEY, Caedon",FR,143,Saint Mary's (Minn.),70,29:04.0,4:27.0,5:50.9,3:38.0,3:29.1,8:26.5,15:59.6,25:29.3
161,"RAABE-PAVLOV, Chris",SO,208,St. Olaf,-,29:06.0,4:29.0,5:51.3,3:38.2,3:28.1,8:24.7,16:03.1,25:37.8
162,"ASHLEY, Dawson",FR,10,Bethel (Minn.),-,29:08.4,4:31.4,5:51.8,3:38.5,3:25.6,8:24.2,15:54.2,25:32.2
163,"CZECH, Jacob",JR,156,St. John's (Minn.),-,29:09.4,4:32.4,5:52.0,3:38.7,3:27.9,8:18.5,15:47.3,25:29.3
164,"WATTS, Avery",FR,54,Carleton,-,29:11.0,4:34.0,5:52.3,3:38.9,3:27.4,8:25.6,16:04.5,25:41.3
165,"AABERG, Alden",SR,176,St. Olaf,-,29:12.1,4:35.1,5:52.5,3:39.0,3:29.3,8:30.8,16:12.6,25:37.0
166,"HERNANDEZ, Armando",SR,124,Macalester,-,29:12.6,4:35.6,5:52.6,3:39.1,3:38.5,8:48.0,16:25.4,25:42.3
167,"HERMAN, Zach",SR,188,St. Olaf,-,29:15.4,4:38.4,5:53.2,3:39.4,3:33.2,8:41.3,16:21.7,25:37.7
168,"KRINGLER, Justin",SO,67,Concordia-Moorhea,-,29:16.3,4:39.3,5:53.4,3:39.5,3:21.2,8:18.6,16:02.3,25:49.2
169,"PESKE, Cole",FR,136,Macalester,-,29:16.9,4:39.9,5:53.5,3:39.6,3:21.7,8:13.5,15:52.9,25:39.8
170,"WILSON, Josh",SO,107,Gustavus Adolphus,-,29:17.7,4:40.7,5:53.7,3:39.7,3:29.0,8:25.9,16:03.6,25:44.2
