1,6,167,1,1
2,3,82,2,1
3,2,66,3,1
4,8,207,4,1
5,1,61,5,1
6,5,101,6,1
7,7,177,7,1
8,11,348,8,1
9,9,208,9,1
10,4,97,10,1
11,10,277,11,1
12,6,167,1,2
13,4,141,2,2
14,2,79,3,2
15,8,213,4,2
16,1,31,5,2
17,3,96,6,2
18,5,145,7,2
19,7,198,8,2
20,11,260,9,2
21,10,231,10,2
22,9,228,11,2
23,6,163,1,3
24,5,150,2,3
25,2,54,3,3
26,8,211,4,3
27,1,45,5,3
28,3,111,6,3
29,4,118,7,3
30,10,227,8,3
31,9,220,9,3
32,11,260,10,3
33,7,185,11,3
34,6,139,1,4
35,2,97,2,4
36,1,54,3,4
37,10,252,4,4
38,5,133,5,4
39,4,103,6,4
40,3,101,7,4
41,9,248,8,4
42,8,242,9,4
43,11,252,10,4
44,7,146,11,4
45,2,81,1,5
46,3,104,2,5
47,1,20,3,5
48,7,207,4,5
49,5,175,5,5
50,4,108,6,5
51,10,243,7,5
52,8,226,8,5
53,6,184,9,5
54,11,274,10,5
55,9,239,11,5
56,2,72,1,6
57,3,105,2,6
58,1,16,3,6
59,6,155,4,6
60,5,132,5,6
61,4,120,6,6
62,10,279,7,6
63,11,292,8,6
64,8,201,9,6
65,9,225,10,6
66,7,191,11,6
67,3,99,1,7
68,4,107,2,7
69,1,34,3,7
70,5,109,4,7
71,7,194,5,7
72,2,96,6,7
73,6,160,7,7
74,11,329,8,7
75,9,228,9,7
76,10,255,10,7
77,8,214,11,7
78,5,140,1,8
79,4,111,2,8
80,1,44,3,8
81,3,77,4,8
82,6,157,5,8
83,2,66,6,8
84,8,217,7,8
85,11,305,8,8
86,9,228,9,8
87,10,271,10,8
88,7,204,11,8
89,1,26,1,9
90,2,137,2,9
91,4,46,3,9
92,8,175,4,9
93,6,166,5,9
94,3,109,6,9
95,5,156,7,9
96,9,240,8,9
97,7,173,9,9
98,11,353,10,9
99,10,255,11,9
100,1,33,1,10
101,3,66,2,10
102,2,43,3,10
103,6,186,4,10
104,9,241,5,10
105,5,130,6,10
106,4,120,7,10
107,7,200,8,10
108,8,206,9,10
109,11,315,10,10
110,10,308,11,10
111,1,50,1,11
112,2,63,2,11
113,3,69,3,11
114,4,109,4,11
115,5,140,5,11
116,6,143,6,11
117,7,177,7,11
118,8,206,8,11
119,9,251,9,11
120,10,319,10,11
121,11,334,11,11
