1,7
2,5
3,2
4,3
5,9
6,5
7,2
8,3
9,10
10,6
11,10
12,3
13,2
14,6
15,5
16,2
17,10
18,5
19,3
20,5
21,6
22,1
23,3
24,1
25,6
26,3
27,10
28,5
29,9
30,5
31,6
32,4
33,5
34,10
35,1
36,4
37,7
38,4
39,7
40,5
41,11
42,1
43,11
44,3
45,2
46,5
47,10
48,6
49,7
50,1
51,4
52,6
53,3
54,6
55,9
56,6
57,1
58,2
59,2
60,1
61,3
62,6
63,2
64,4
65,7
66,5
67,4
68,2
69,3
70,7
71,7
72,5
73,6
74,2
75,7
76,4
77,3
78,6
79,9
80,2
81,3
82,4
83,3
84,11
85,9
86,8
87,8
88,2
89,3
90,10
91,6
92,1
93,11
94,3
95,3
96,11
97,5
98,11
99,3
100,7
101,6
102,4
103,10
104,11
105,9
106,8
107,7
108,8
109,3
110,1
111,10
112,2
113,8
114,1
115,11
116,6
117,8
118,9
119,6
120,10
121,1
122,8
123,7
124,4
125,6
126,7
127,10
128,11
129,1
130,10
131,8
132,1
133,1
134,8
135,7
136,4
137,5
138,1
139,2
140,6
141,3
142,4
143,8
144,10
145,3
146,6
147,8
148,2
149,3
150,1
151,6
152,7
153,2
154,7
155,3
156,11
157,3
158,9
159,6
160,6
161,6
162,1
163,6
164,6
165,4
166,8
167,6
168,8
169,8
170,6
171,6
172,6
173,6
174,9
175,10
176,3
177,8
178,9
179,1
180,2
181,11
182,9
183,6
184,3
185,4
186,6
187,1
188,7
189,6
190,10
191,4
192,4
193,7
194,1
195,8
196,7
197,8
198,4
199,3
200,6
201,8
202,8
203,9
204,8
205,8
206,4
207,6
208,1
209,3
210,9
211,3
212,3
213,1
214,3
215,3
216,10
217,6
218,2
219,8
220,6
221,3
222,7
223,3
224,2
225,2
226,11
227,2
228,4
229,3
230,9
231,4
232,3
233,10
234,4
235,6
236,5
237,6
238,8
239,1
240,2
241,5
242,1
243,3
244,11
245,8
246,6
247,3
248,4
249,3
250,1
251,3
252,11
253,6
254,3
255,3
256,6
257,9
258,8
259,9
260,6
261,2
262,6
263,6
264,3
265,8
266,1
267,6
268,6
269,8
270,6
271,6
272,3
273,9
274,6
275,6
276,7
277,3
278,5
279,2
280,4
281,7
282,6
283,9
284,1
285,4
286,10
287,9
288,11
289,8
290,9
291,9
292,3
293,8
294,4
295,8
296,8
297,1
298,11
299,4
300,3
301,1
302,6
303,10
304,6
305,8
306,6
307,6
308,3
309,7
310,7
311,9
312,9
313,3
314,3
315,9
316,4
317,8
318,1
319,8
320,7
321,8
322,9
323,6
324,3
325,3
326,3
327,9
328,7
329,4
330,11
331,3
332,6
333,2
334,3
335,9
336,5
337,7
338,9
339,3
340,4
341,1
342,8
343,9
344,8
345,3
346,3
347,6
348,3
349,10
350,3
351,4
352,3
353,2
354,1
355,6
356,2
357,4
358,3
359,10
360,6
361,5
362,3
363,7
364,3
365,2
366,3
367,2
368,6
369,5
370,1
371,11
372,8
373,9
374,9
375,6
376,6
377,7
378,5
379,3
380,6
381,1
382,6
383,7
384,4
385,6
386,4
387,3
388,8
389,3
390,3
391,3
392,11
393,3
394,7
395,8
396,3
397,1
398,1
399,7
400,1
401,8
402,8
403,5
404,3
405,8
406,4
407,9
408,6
409,6
410,4
411,9
412,11
413,3
414,3
415,8
416,4
417,4
418,6
419,5
420,7
421,8
422,8
423,4
424,3
425,2
426,3
427,3
428,6
429,5
430,6
431,3
432,3
433,7
434,2
435,10
436,1
437,3
438,6
439,2
440,5
441,2
442,9
443,3
444,11
445,2
446,3
447,6
448,6
449,6
450,6
451,11
452,2
453,3
454,6
455,5
456,2
457,1
458,7
459,10
460,3
461,9
462,4
463,6
464,6
465,1
466,3
467,2
468,6
469,1
470,6
471,11
472,9
473,3
474,4
475,2
476,2
477,2
478,7
479,3
480,10
481,6
482,1
483,4
484,3
485,5
486,3
487,8
488,4
489,6
490,3
491,9
492,5
493,6
494,3
495,6
496,1
497,3
498,4
499,11
500,4
501,3
502,3
503,6
504,6
505,4
506,10
507,9
508,8
509,7
510,7
511,2
512,7
513,9
514,6
515,7
516,3
517,1
518,10
519,2
520,8
521,2
522,1
523,11
524,4
525,6
526,2
527,9
528,1
529,3
530,9
531,9
532,6
533,8
534,1
535,7
536,2
537,4
538,4
539,6
540,4
541,6
542,11
543,5
544,2
545,2
546,3
547,10
548,8
549,5
550,8
551,1
552,8
553,2
554,3
555,4
556,6
557,2
558,8
559,5
560,10
561,4
562,2
563,6
564,2
565,3
566,7
567,8
568,6
569,11
570,10
571,6
572,3
573,2
574,11
575,1
576,9
577,2
578,6
579,11
580,6
581,4
582,2
583,6
584,8
585,1
586,4
587,4
588,10
589,1
590,2
591,3
592,6
593,6
594,7
595,9
596,6
597,6
598,6
599,9
600,9
601,3
602,6
603,7
604,7
605,8
606,6
607,6
608,9
609,8
610,9
611,8
612,6
613,8
614,6
615,9
616,1
617,2
618,9
619,3
620,3
621,10
622,3
623,3
624,5
625,1
626,6
627,9
628,3
629,2
630,11
631,6
632,9
633,2
634,6
635,1
636,1
637,3
638,4
639,1
640,2
641,2
